2019-Oct-16 03:16:37.178 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2019-Oct-16 03:16:37.180 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2019-Oct-16 03:16:37.180 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2019-Oct-16 03:16:37.180 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2019-Oct-16 03:16:37.181 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Changing status to UP
2019-Oct-16 03:16:37.193 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2019-Oct-16 03:16:37.195 INFO  [main] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8081
2019-Oct-16 03:16:37.199 INFO  [main] c.l.a.AppApplication - Started AppApplication in 14.439 seconds (JVM running for 15.714)
2019-Oct-16 03:16:37.214 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2019-Oct-16 03:17:00.364 INFO  [http-nio-8081-exec-1] o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-Oct-16 03:17:00.364 INFO  [http-nio-8081-exec-1] o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-Oct-16 03:17:00.415 INFO  [http-nio-8081-exec-1] o.s.w.s.DispatcherServlet - Completed initialization in 50 ms
2019-Oct-16 03:17:01.223 INFO  [http-nio-8081-exec-4] c.n.e.r.AbstractInstanceRegistry - Registered instance AUTH-SERVICE/29989c846880:auth-service:8082 with status UP (replication=false)
2019-Oct-16 03:17:37.184 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-Oct-16 03:18:47.250 ERROR [main] o.s.b.c.l.LoggingApplicationListener - Cannot set level 'ON' for 'com.netflix.eureka'
2019-Oct-16 03:18:47.252 ERROR [main] o.s.b.c.l.LoggingApplicationListener - Cannot set level 'ON' for 'com.netflix.discovery'
2019-Oct-16 03:18:47.398 INFO  [main] c.l.a.AppApplication - No active profile set, falling back to default profiles: default
2019-Oct-16 03:18:51.321 WARN  [main] o.s.b.a.e.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-Oct-16 03:18:53.312 INFO  [main] o.s.c.c.s.GenericScope - BeanFactory id=27878294-b362-3f48-b73a-477b5dc03d46
2019-Oct-16 03:18:54.182 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$469fcdad] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-Oct-16 03:18:56.509 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2019-Oct-16 03:18:56.730 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2019-Oct-16 03:18:56.733 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.14]
2019-Oct-16 03:18:56.796 INFO  [main] o.a.c.c.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2019-Oct-16 03:18:57.115 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2019-Oct-16 03:18:57.120 INFO  [main] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 9626 ms
2019-Oct-16 03:18:57.776 WARN  [main] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-Oct-16 03:18:57.776 INFO  [main] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-Oct-16 03:18:57.855 INFO  [main] c.n.c.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@13b3d178
2019-Oct-16 03:19:00.952 INFO  [main] c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2019-Oct-16 03:19:01.503 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-Oct-16 03:19:01.516 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-Oct-16 03:19:02.430 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-Oct-16 03:19:02.432 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-Oct-16 03:19:03.859 WARN  [main] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-Oct-16 03:19:03.860 INFO  [main] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-Oct-16 03:19:05.013 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-Oct-16 03:19:08.083 INFO  [main] o.s.c.n.e.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-Oct-16 03:19:08.277 INFO  [main] c.n.d.DiscoveryClient - Initializing Eureka in region us-east-1
2019-Oct-16 03:19:08.279 INFO  [main] c.n.d.DiscoveryClient - Client configured to neither register nor query for data.
2019-Oct-16 03:19:08.360 INFO  [main] c.n.d.DiscoveryClient - Discovery Client initialized at timestamp 1571195948358 with initial instances count: 0
2019-Oct-16 03:19:08.516 INFO  [main] c.n.e.DefaultEurekaServerContext - Initializing ...
2019-Oct-16 03:19:08.523 WARN  [main] c.n.e.c.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2019-Oct-16 03:19:08.604 INFO  [main] c.n.e.r.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
2019-Oct-16 03:19:08.632 INFO  [main] c.n.e.DefaultEurekaServerContext - Initialized
2019-Oct-16 03:19:08.697 INFO  [main] o.s.b.a.e.w.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-Oct-16 03:19:09.169 INFO  [main] o.s.c.n.e.s.EurekaServiceRegistry - Registering application DISCOVERY-SERVICE with eureka with status UP
2019-Oct-16 03:19:09.191 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Setting the eureka configuration..
2019-Oct-16 03:19:09.239 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-Oct-16 03:19:09.242 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2019-Oct-16 03:19:09.341 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2019-Oct-16 03:19:09.347 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2019-Oct-16 03:19:09.348 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2019-Oct-16 03:19:09.348 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2019-Oct-16 03:19:09.349 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Changing status to UP
